来源,标题,开始时间,结束时间,链接
﻿货物,国电蚌埠发电有限公司液氨A标段、B标段招标采购招标公告,2019-04-19 09:00,2019-04-26 12:00,http://www.cgdcbidding.com:80/ggsb/28195.jhtml
﻿货物,国电华北电力有限公司廊坊热电厂粉煤灰、炉渣、石膏销售（三年）招标公告,2019-04-19 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28198.jhtml
﻿货物,朗新明公司水厂提标改造 （诸城地区）设备成套供货项目招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28142.jhtml
﻿货物,国电河南后地一期50MW风电项目风力发电机组设备采购招标公告,2019-04-17 09:00,2019-04-23 16:00,http://www.cgdcbidding.com:80/ggsb/28146.jhtml
﻿货物,国电长源一发2×350MW+1×330MW机组#1煤场原煤筒仓建设改造项目筒仓保护装置招标招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28147.jhtml
﻿货物,国电河南范县42MW分散式风电项目风力发电机组设备采购招标公告,2019-04-17 09:00,2019-04-23 16:00,http://www.cgdcbidding.com:80/ggsb/28148.jhtml
﻿货物,国电长源一发2×350MW+1×330MW机组#1煤场原煤筒仓建设改造项目胶带输送机招标招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28149.jhtml
﻿货物,江苏龙源催化剂有限公司2019年度包装铁箱框架【二次挂网】招标公告,2019-04-17 09:00,2019-04-24 16:00,http://www.cgdcbidding.com:80/ggsb/28155.jhtml
﻿货物,国电东北环保产业集团有限公司2019年液碱采购【二次挂网】招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28165.jhtml
﻿货物,国电东北环保产业集团有限公司2019年液氧采购【二次挂网】招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28182.jhtml
﻿货物,国电东北环保产业集团有限公司乙酸钠采购项目【三次挂网】招标公告,2019-04-17 09:00,2019-04-22 16:00,http://www.cgdcbidding.com:80/ggsb/28183.jhtml
﻿货物,大渡河瀑布沟、深溪沟水电站220V直流系统蓄电池采购招标公告,2019-04-16 09:00,2019-04-24 16:00,http://www.cgdcbidding.com:80/ggsb/28102.jhtml
﻿货物,国电大渡河公司龚嘴水力发电总厂龚嘴、铜街子溢流设备控制系统升级改造招标公告,2019-04-16 09:00,2019-04-24 16:00,http://www.cgdcbidding.com:80/ggsb/28103.jhtml
﻿货物,内蒙古平庄能源股份有限公司物资供应分公司车用柴油项目采购招标公告,2019-04-16 09:00,2019-04-22 16:00,http://www.cgdcbidding.com:80/ggsb/28105.jhtml
﻿货物,内蒙古平庄能源股份有限公司物资供应分公司煤矿用橡套电缆项目采购【二次挂网】招标公告,2019-04-16 09:00,2019-04-22 16:00,http://www.cgdcbidding.com:80/ggsb/28107.jhtml
﻿货物,固安华电天仁控制设备有限公司风电变桨2019年上半年国产低压电机招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28108.jhtml
﻿货物,固安华电天仁控制设备有限公司风电变桨2019年下半年国产高压电机招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28109.jhtml
﻿货物,固安华电天仁控制设备有限公司风电变桨2019年电源管理模块招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28110.jhtml
﻿货物,固安华电天仁控制设备有限公司风电变桨2019年下半年高压伺服驱动器招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28111.jhtml
﻿货物,国电电力邯郸东郊热电有限责任公司石灰石粉【二次挂网】招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28123.jhtml
﻿货物,内蒙古平庄煤业（集团）有限责任公司内蒙古平西白音华煤业有限公司2019年车用柴油项目采购招标公告,2019-04-16 09:00,2019-04-23 16:00,http://www.cgdcbidding.com:80/ggsb/28133.jhtml
﻿货物,内蒙古平庄煤业（集团）有限责任公司内蒙古锡林河煤化工有限责任公司车用柴油项目采购招标公告,2019-04-16 09:00,2019-04-22 16:00,http://www.cgdcbidding.com:80/ggsb/28134.jhtml
﻿货物,国电费县发电有限公司全厂 6kVFC 负荷开关升级改造【二次挂网】招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28136.jhtml
﻿货物,北京国电龙源环保工程有限公司宿州分公司2019年度下半年石灰石招标公告,2019-04-17 09:00,2019-04-25 16:00,http://www.cgdcbidding.com:80/ggsb/28070.jhtml
﻿货物,国电电力内蒙古天和风电场风机发电能力提升项目风力发电机组设备采购【二次挂网】招标公告,2019-04-16 09:00,2019-04-22 16:00,http://www.cgdcbidding.com:80/ggsb/28072.jhtml
